//Sw	krw	dkrwdsw
-2.5	6.25	-5
-2.4	5.76	-4.8
-2.3	5.29	-4.6
-2.2	4.84	-4.4
-2.1	4.41	-4.2
-2	4	-4
-1.9	3.61	-3.8
-1.8	3.24	-3.6
-1.7	2.89	-3.4
-1.6	2.56	-3.2
-1.5	2.25	-3
-1.4	1.96	-2.8
-1.3	1.69	-2.6
-1.2	1.44	-2.4
-1.1	1.21	-2.2
-1	1	-2
-0.9	0.81	-1.8
-0.8	0.64	-1.6
-0.7	0.49	-1.4
-0.6	0.36	-1.2
-0.5	0.25	-1
-0.4	0.16	-0.8
-0.3	0.09	-0.6
-0.2	0.04	-0.4
-0.1	0.01	-0.2
0		0		0
0.1		0.01	0.2
0.2		0.04	0.4
0.3		0.09	0.6
0.4		0.16	0.8
0.5		0.25	1
0.6		0.36	1.2
0.7		0.49	1.4
0.8		0.64	1.6
0.9		0.81	1.8
1		1		2
1.1		1.21	2.2
1.2		1.44	2.4
1.3		1.69	2.6
1.4		1.96	2.8
1.5		2.25	3
1.6		2.56	3.2
1.7		2.89	3.4
1.8		3.24	3.6
1.9		3.61	3.8
2		4		4
2.1		4.41	4.2
2.2		4.84	4.4
2.3		5.29	4.6
2.4		5.76	4.8
2.5		6.25	5
2.6		6.76	5.2
2.7		7.29	5.4
2.8		7.84	5.6
2.9		8.41	5.8
